,date,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
2021-02-22 09:30:00,2021-02-22,09:30 AM,33.975,33.7,33.774,954.0,32220.66,12.0,34.02,33.7,33.794,40321,1362617.6375,123,33.85,33.975,33.76,33.975,0.0,0.0
2021-02-22 09:31:00,2021-02-22,09:31 AM,34.065,33.975,34.038,1146.0,39007.435,11.0,34.09,33.96,34.038,15587,530544.916,116,34.05,33.975,34.02,33.975,0.007816663705809078,0.007220216606498189
2021-02-22 09:32:00,2021-02-22,09:32 AM,33.955,33.86,33.901,618.0,20950.93,9.0,33.955,33.85,33.884,5562,188462.32,42,33.95,33.91,33.95,33.9,0.00376028897968859,0.00266319464993796
2021-02-22 09:33:00,2021-02-22,09:33 AM,33.92,33.805,33.904,730.0,24749.665,14.0,33.93,33.79,33.892,16541,560605.1468,108,33.92,33.805,33.9,33.81,0.0038491147036182434,0.0028999230632658487
2021-02-22 09:34:00,2021-02-22,09:34 AM,33.92,33.825,33.89,515.0,17453.305,7.0,33.93,33.81,33.895,20122,682047.025,124,33.825,33.89,33.83,33.91,0.003434594658613124,0.0029886962182637806
2021-02-22 09:35:00,2021-02-22,09:35 AM,34.075,34.0,34.042,548.0,18654.995,17.0,34.08,33.95,34.028,13439,457297.5092,94,34.005,34.07,33.95,34.08,0.007935098004382088,0.0069243060898384855
2021-02-22 09:36:00,2021-02-22,09:36 AM,34.19,34.09,34.187,319.0,10905.59,5.0,34.19,34.042,34.12,16864,575398.66,134,34.09,34.14,34.09,34.07,0.01222834132764839,0.00964668284310826
2021-02-22 09:37:00,2021-02-22,09:37 AM,34.17,34.08,34.12,107.0,3650.9,4.0,34.17,34.03,34.106,15273,520903.67,128,34.08,34.17,34.07,34.03,0.010244566826552866,0.009232408119784718
2021-02-22 09:38:00,2021-02-22,09:38 AM,,,,0.0,0.0,0.0,34.08,34.01,34.054,4600,156647.5,41,,,34.05,34.07,,0.0076936734331539665
2021-02-22 09:39:00,2021-02-22,09:39 AM,34.08,34.05,34.068,844.0,28753.475,10.0,34.09,34.04,34.066,16884,575170.364,112,34.055,34.07,34.08,34.07,0.008704920945105611,0.008048766053145695
2021-02-22 09:40:00,2021-02-22,09:40 AM,34.11,34.07,34.093,606.0,20660.66,3.0,34.13,34.07,34.098,12268,418315.545,95,34.07,34.09,34.07,34.075,0.009445135311186197,0.008995679706456828
2021-02-22 09:41:00,2021-02-22,09:41 AM,34.095,34.065,34.093,105.0,3579.825,2.0,34.19,34.04,34.123,6978,238113.19,55,34.065,34.095,34.04,34.19,0.009445135311186197,0.009735455998106192
2021-02-22 09:42:00,2021-02-22,09:42 AM,34.16,34.135,34.154,400.0,13661.5,2.0,34.185,34.135,34.162,7466,255052.3961,53,34.16,34.135,34.18,34.17,0.011251258364422412,0.010889507013079308
2021-02-22 09:43:00,2021-02-22,09:43 AM,34.19,34.185,34.19,405.0,13846.925,5.0,34.22,34.16,34.193,9775,334236.85,68,34.185,34.19,34.18,34.16,0.012317167051578043,0.011806829614724535
2021-02-22 09:44:00,2021-02-22,09:44 AM,,,,0.0,0.0,0.0,34.22,34.145,34.183,10390,355158.028,73,,,34.145,34.18,,0.011510919098064832
2021-02-22 09:45:00,2021-02-22,09:45 AM,34.24,34.17,34.23,1700.0,58191.0,5.0,34.26,34.17,34.222,12471,426783.28,70,34.17,34.21,34.2,34.26,0.013501510037306683,0.012664970113037948
2021-02-22 09:46:00,2021-02-22,09:46 AM,34.355,34.245,34.318,1203.0,41284.27,11.0,34.37,34.245,34.325,21703,744957.69,156,34.245,34.35,34.245,34.35,0.01610706460590978,0.015712848434633542
2021-02-22 09:47:00,2021-02-22,09:47 AM,34.375,34.365,34.375,417.0,14334.325,9.0,34.38,34.36,34.371,5071,174295.89,26,34.365,34.375,34.36,34.37,0.017794753360573196,0.01707403681126843
2021-02-22 09:48:00,2021-02-22,09:48 AM,34.455,34.37,34.404,951.0,32718.455,18.0,34.48,34.38,34.407,61358,2111119.58,195,34.385,34.37,34.38,34.39,0.01865340202522658,0.018139314671243405
2021-02-22 09:49:00,2021-02-22,09:49 AM,34.465,34.465,34.465,75.0,2584.875,2.0,34.48,34.37,34.402,17055,586726.1135,110,34.465,34.465,34.4,34.45,0.020459525078462798,0.017991359412913657
2021-02-22 09:50:00,2021-02-22,09:50 AM,34.51,34.51,34.51,136.0,4693.36,1.0,34.54,34.45,34.491,32568,1123311.95,101,34.51,34.51,34.46,34.5,0.021791910937407385,0.0206249630111855
2021-02-22 09:51:00,2021-02-22,09:51 AM,34.57,33.88,34.302,2482.0,85138.38,13.0,34.6,33.88,34.43,62610,2155673.88,369,34.515,34.57,34.52,34.577,0.015633327411618367,0.018819908859560953
2021-02-22 09:52:00,2021-02-22,09:52 AM,34.61,34.58,34.584,891.0,30814.31,4.0,34.61,34.56,34.589,9185,317702.25,56,34.585,34.58,34.58,34.575,0.023982945461005573,0.023524886074451138
2021-02-22 09:53:00,2021-02-22,09:53 AM,34.55,34.495,34.532,600.0,20719.0,4.0,34.575,34.49,34.514,16866,582107.3525,87,34.55,34.525,34.575,34.51,0.02244329957955811,0.02130555719950305
2021-02-22 09:54:00,2021-02-22,09:54 AM,34.6,34.545,34.568,450.0,15555.5,5.0,34.62,34.5,34.561,8915,308108.25,68,34.545,34.6,34.52,34.6,0.02350920826671395,0.022696336627803845
2021-02-22 09:55:00,2021-02-22,09:55 AM,34.6,34.53,34.587,600.0,20752.0,4.0,34.615,34.5,34.533,15360,530423.39,41,34.6,34.53,34.615,34.515,0.024071771184935226,0.021867787181156548
2021-02-22 09:56:00,2021-02-22,09:56 AM,34.63,34.555,34.593,1145.0,39609.565,11.0,34.621,34.53,34.596,13625,471369.5695,92,34.555,34.58,34.53,34.58,0.024249422632794535,0.02373202343611291
2021-02-22 09:57:00,2021-02-22,09:57 AM,34.65,34.6,34.611,128.0,4430.2,2.0,34.66,34.57,34.602,8264,285953.655,53,34.65,34.6,34.585,34.57,0.024782376976372245,0.023909569746108774
2021-02-22 09:58:00,2021-02-22,09:58 AM,34.58,34.58,34.58,15.0,518.7,1.0,34.655,34.57,34.625,7923,274336.62,35,34.58,34.58,34.575,34.655,0.023864511162432562,0.024590163934426323
2021-02-22 09:59:00,2021-02-22,09:59 AM,34.64,34.615,34.629,500.0,17314.5,5.0,34.66,34.615,34.637,10836,375329.03,58,34.62,34.64,34.655,34.63,0.025315331319950164,0.024945256554418052
2021-02-22 10:00:00,2021-02-22,10 AM,34.64,34.605,34.623,200.0,6924.5,2.0,34.64,34.605,34.627,10684,369955.88,51,34.605,34.64,34.639,34.64,0.025137679872090857,0.024649346037758348
2021-02-22 10:01:00,2021-02-22,10:01 AM,34.7,34.65,34.688,805.0,27923.85,14.0,34.71,34.64,34.672,6760,234381.49,54,34.67,34.65,34.65,34.65,0.027062237223900085,0.02598094336272712
2021-02-22 10:02:00,2021-02-22,10:02 AM,34.67,34.64,34.651,653.0,22626.935,11.0,34.68,34.63,34.654,2867,99354.56,21,34.64,34.67,34.63,34.66,0.025966719962101096,0.025448304432739734
2021-02-22 10:03:00,2021-02-22,10:03 AM,34.71,34.685,34.697,200.0,6939.5,2.0,34.75,34.675,34.697,8933,309946.29,57,34.685,34.71,34.675,34.74,0.027328714395689045,0.026720719654376692
2021-02-22 10:04:00,2021-02-22,10:04 AM,34.75,34.72,34.734,402.0,13962.95,5.0,34.75,34.72,34.736,7487,260069.39,49,34.725,34.75,34.73,34.73,0.028424231657488034,0.027874770669349597
2021-02-22 10:05:00,2021-02-22,10:05 AM,34.76,34.73,34.759,409.0,14216.6,4.0,34.76,34.69,34.736,5039,175033.19,41,34.76,34.73,34.75,34.72,0.029164446023568408,0.027874770669349597
2021-02-22 10:06:00,2021-02-22,10:06 AM,34.72,34.675,34.679,4500.0,156057.0,16.0,34.72,34.66,34.687,8430,292409.27,40,34.7,34.72,34.7,34.72,0.026795760052111123,0.026424809137716776
2021-02-22 10:07:00,2021-02-22,10:07 AM,34.72,34.69,34.705,551.0,19122.21,8.0,34.73,34.69,34.698,12240,424707.84,92,34.7,34.72,34.71,34.72,0.027565582992834646,0.0267503107060426
2021-02-22 10:08:00,2021-02-22,10:08 AM,34.7,34.63,34.678,825.0,28609.02,9.0,34.72,34.6,34.644,27232,943416.231,145,34.7,34.685,34.7,34.685,0.026766151477467765,0.02515239391607982
2021-02-22 10:09:00,2021-02-22,10:09 AM,34.69,34.665,34.684,1100.0,38152.5,11.0,34.7,34.65,34.688,9276,321765.23,57,34.685,34.665,34.685,34.65,0.026943802925327075,0.026454400189382894
2021-02-22 10:10:00,2021-02-22,10:10 AM,34.63,34.6,34.615,620.0,21461.2,7.0,34.63,34.59,34.609,4092,141619.824,32,34.63,34.6,34.63,34.6,0.024900811274945256,0.024116707107770755
2021-02-22 10:11:00,2021-02-22,10:11 AM,34.64,34.64,34.64,200.0,6928.0,2.0,34.66,34.59,34.622,6034,208908.635,39,34.64,34.64,34.59,34.66,0.02564102564102563,0.02450139077942839
2021-02-22 10:12:00,2021-02-22,10:12 AM,34.7,34.645,34.668,803.0,27838.6,9.0,34.7,34.64,34.675,10472,363115.8,89,34.66,34.695,34.66,34.67,0.02647006573103566,0.02606971651772505
2021-02-22 10:13:00,2021-02-22,10:13 AM,34.735,34.68,34.703,643.0,22314.06,9.0,34.735,34.67,34.681,15094,523469.295,65,34.68,34.735,34.68,34.735,0.02750636584354835,0.026247262827720913
2021-02-22 10:14:00,2021-02-22,10:14 AM,34.74,34.71,34.734,508.0,17644.71,9.0,34.74,34.7,34.729,6415,222786.01,46,34.735,34.71,34.735,34.7,0.028424231657488034,0.027667633307687824
2021-02-22 10:15:00,2021-02-22,10:15 AM,34.7,34.66,34.67,409.0,14179.94,3.0,34.71,34.64,34.676,9298,322414.04,69,34.7,34.66,34.7,34.66,0.026529282880322164,0.026099307569391165
