,date,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
2021-02-22 09:30:00,2021-02-22,09:30 AM,2071.2,2065.635,2068.369,939.0,1942198.92,15.0,2072.46,2063.49,2065.804,30969,63975895.675,69,2065.635,2067.38,2067.0,2069.0,0.0,0.0
2021-02-22 09:31:00,2021-02-22,09:31 AM,2070.33,2066.47,2069.996,114.0,235979.58,3.0,2070.33,2065.246,2067.326,3992,8252765.44,27,2070.33,2066.47,2070.33,2068.65,0.0007866101261428461,0.0007367591504324391
2021-02-22 09:32:00,2021-02-22,09:32 AM,2075.355,2068.145,2072.147,1914.0,3966089.025,15.0,2075.94,2068.145,2072.606,6349,13158977.94,39,2068.51,2075.355,2070.0,2075.94,0.001826559961012659,0.0032926647445740906
2021-02-22 09:33:00,2021-02-22,09:33 AM,2075.6,2064.63,2069.068,800.0,1655254.0,8.0,2075.6,2063.61,2069.09,4694,9712309.2275,35,2075.6,2064.63,2075.33,2064.63,0.00033794743587825434,0.001590663973929791
2021-02-22 09:34:00,2021-02-22,09:34 AM,2068.92,2062.775,2063.797,826.0,1704696.02,8.0,2068.89,2062.14,2064.325,2417,4989473.62,20,2062.775,2068.92,2062.6,2068.89,-0.0022104373059159735,-0.0007159440101772817
2021-02-22 09:35:00,2021-02-22,09:35 AM,2072.09,2067.57,2069.565,1496.0,3096069.03,16.0,2071.87,2067.31,2069.497,3157,6533400.61,26,2067.57,2068.37,2067.88,2068.285,0.0005782333809875861,0.0017876816968113898
2021-02-22 09:36:00,2021-02-22,09:36 AM,2072.64,2068.17,2069.892,139.0,287714.92,5.0,2074.26,2067.25,2070.538,1964,4066536.2,19,2068.17,2072.64,2068.24,2073.11,0.0007363289625785744,0.0022916017202018794
2021-02-22 09:37:00,2021-02-22,09:37 AM,2084.83,2073.205,2080.905,355.0,738721.47,8.0,2085.0,2073.205,2081.534,3667,7632984.5,29,2073.205,2083.82,2073.205,2083.34,0.006060814100385403,0.00761446874921339
2021-02-22 09:38:00,2021-02-22,09:38 AM,2084.87,2083.07,2084.122,65.0,135467.9,4.0,2085.33,2082.45,2084.234,1300,2709504.0,13,2083.07,2084.87,2083.76,2082.45,0.007616145861787573,0.008921465928035688
2021-02-22 09:39:00,2021-02-22,09:39 AM,2081.01,2078.0,2079.317,16.0,33269.07,2.0,2082.45,2081.37,2082.115,673,1401263.3223,5,2081.01,2078.0,2082.45,2081.37,0.0052930594105789945,0.007895715179174643
