,date,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
2021-02-22 09:30:00,2021-02-22,09:30 AM,2058.09,2049.02,2053.175,1161,2383736.285,32,2058.22,2048.0,2053.463,38658,79382759.5,93,2055.7,2054.86,2053.6,2055.96,0.0,0.0
2021-02-22 09:31:00,2021-02-22,09:31 AM,2056.66,2053.63,2054.178,530,1088714.52,13,2058.16,2053.71,2056.166,3768,7747633.62,28,2056.655,2053.63,2056.27,2054.375,0.0004885116953010346,0.0013163129795861791
2021-02-22 09:32:00,2021-02-22,09:32 AM,2061.37,2056.58,2060.157,768,1582201.02,21,2061.37,2054.11,2058.621,2526,5200076.73,23,2056.58,2061.37,2054.86,2061.11,0.003400586895905108,0.002511854365040861
2021-02-22 09:33:00,2021-02-22,09:33 AM,2061.76,2050.37,2053.688,962,1975648.12,21,2061.83,2050.29,2055.245,5484,11270963.62,49,2061.16,2051.25,2061.12,2051.59,0.0002498569289027579,0.0008678023417026252
2021-02-22 09:34:00,2021-02-22,09:34 AM,2051.83,2049.18,2050.6,627,1285726.14,10,2055.35,2048.56,2050.974,4617,9469346.355,42,2049.58,2051.08,2048.56,2055.35,-0.001254155149950819,-0.0012120987814243707
2021-02-22 09:35:00,2021-02-22,09:35 AM,2058.27,2052.81,2055.925,215,442023.88,5,2058.494,2053.87,2056.226,2224,4573045.53,22,2052.81,2053.87,2053.96,2053.87,0.0013393889950929657,0.001345531913650219
2021-02-22 09:36:00,2021-02-22,09:36 AM,2059.01,2055.02,2056.989,402,826909.56,4,2060.0,2053.82,2058.136,3853,7929996.87,36,2055.02,2058.78,2053.82,2058.57,0.0018576107735579531,0.002275667981356262
2021-02-22 09:37:00,2021-02-22,09:37 AM,2070.245,2059.04,2061.606,246,507155.075,7,2071.555,2057.84,2066.161,10410,21508741.175,90,2059.05,2070.245,2059.013,2070.42,0.004106323133683217,0.006183700412425188
2021-02-22 09:38:00,2021-02-22,09:38 AM,2071.43,2066.81,2070.673,798,1652396.94,18,2071.65,2067.28,2070.155,5646,11688095.88,47,2070.46,2066.81,2070.31,2067.28,0.008522410413140424,0.008128707456623278
2021-02-22 09:39:00,2021-02-22,09:39 AM,2067.68,2061.45,2063.748,86,177482.34,8,2068.64,2061.96,2065.857,2500,5164642.76,17,2067.68,2062.33,2067.71,2062.04,0.005149585398224635,0.00603565781316721
2021-02-22 09:40:00,2021-02-22,09:40 AM,2063.17,2058.07,2061.351,578,1191461.07,10,2062.68,2055.75,2059.627,5301,10918083.775,50,2061.36,2061.48,2061.36,2062.45,0.003982125245047271,0.0030017584928483053
2021-02-22 09:41:00,2021-02-22,09:41 AM,2062.46,2061.32,2062.255,332,684668.61,6,2063.17,2060.56,2061.915,1120,2309345.118,11,2061.32,2062.23,2062.93,2060.56,0.004422418936525102,0.004115973845158043
2021-02-22 09:42:00,2021-02-22,09:42 AM,2059.925,2058.19,2059.057,200,411811.5,2,2061.57,2058.18,2059.844,1500,3089766.0,15,2058.19,2059.925,2059.71,2061.57,0.0028648312978677448,0.003107433637713393
2021-02-22 09:43:00,2021-02-22,09:43 AM,2065.1,2062.76,2064.977,229,472879.68,7,2065.66,2062.15,2064.56,3112,6424910.34,26,2062.76,2065.06,2062.78,2065.1,0.005748170516395182,0.005404041855148961
